reactant_smi,product_smi
OC(=O)C(F)(F)F.FC(CNC1=C(N=C2C(=N1)CNCC2)N2CCC(CC2)OC2=C(C=C(C=C2)F)F)F.CCN(C(C)C)C(C)C.FC(C(=O)OC(C(F)F)=O)F,FC(CNC1=C(N=C2C(=N1)CN(CC2)C(C(F)F)=O)N2CCC(CC2)OC2=C(C=C(C=C2)F)F)F.C(=O)(C(F)(F)F)O
CO[C@H](C(=O)O)C.CCN(C(C)C)C(C)C.CN(C)C(=[N+](C)C)ON1C2=C(C=CC=N2)N=N1.F[P-](F)(F)(F)(F)F.OC(=O)C(F)(F)F.FC(CNC1=C(N=C2C(=N1)CNCC2)N2CCC(CC2)OC2=C(C=C(C=C2)F)F)F,FC(CNC1=C(N=C2C(=N1)CN(CC2)C([C@H](C)OC)=O)N2CCC(CC2)OC2=C(C=C(C=C2)F)F)F.C(=O)(C(F)(F)F)O
CO[C@@H](C(=O)O)C.CCN(C(C)C)C(C)C.CN(C)C(=[N+](C)C)ON1C2=C(C=CC=N2)N=N1.F[P-](F)(F)(F)(F)F.OC(=O)C(F)(F)F.FC(CNC1=C(N=C2C(=N1)CNCC2)N2CCC(CC2)OC2=C(C=C(C=C2)F)F)F,FC(CNC1=C(N=C2C(=N1)CN(CC2)C([C@@H](C)OC)=O)N2CCC(CC2)OC2=C(C=C(C=C2)F)F)F.C(=O)(C(F)(F)F)O
OC(=O)C(F)(F)F.C1(CC1)NC=1N=C2C(=NC1N1CCC(CC1)OC1=C(C=C(C=C1)F)F)C(NCC2)C.C=O.CCN(C(C)C)C(C)C.C(C)(=O)O[BH-](OC(C)=O)OC(C)=O.[Na+],C1(CC1)NC=1N=C2C(=NC1N1CCC(CC1)OC1=C(C=C(C=C1)F)F)C(N(CC2)C)C.C(=O)(C(F)(F)F)O
OC(=O)C(F)(F)F.FC(CNC=1N=C2C(=NC1N1CCC(CC1)OC1=C(C=C(C=C1)F)F)CNC(C2)C)F.C(C)(=O)OC(C)=O.CCN(C(C)C)C(C)C,FC(CNC=1N=C2C(=NC1N1CCC(CC1)OC1=C(C=C(C=C1)F)F)CN(C(C2)C)C(C)=O)F.C(=O)(C(F)(F)F)O
OC(=O)C(F)(F)F.FC(CNC=1N=C2C(=NC1N1CCC(CC1)OC1=C(C=C(C=C1)F)F)CNC(C2)C)F.CN(C(=O)Cl)C.CCN(C(C)C)C(C)C,FC(CNC=1N=C2C(=NC1N1CCC(CC1)OC1=C(C=C(C=C1)F)F)CN(C(C2)C)C(=O)N(C)C)F.C(=O)(C(F)(F)F)O
OC(=O)C(F)(F)F.FC(CNC=1N=C2C(=NC1N1CCC(CC1)OC1=C(C=C(C=C1)F)F)CNC(C2)C)F.C=O.CCN(C(C)C)C(C)C.C(C)(=O)O[BH-](OC(C)=O)OC(C)=O.[Na+],FC(CNC=1N=C2C(=NC1N1CCC(CC1)OC1=C(C=C(C=C1)F)F)CN(C(C2)C)C)F.C(=O)(C(F)(F)F)O
OC(=O)C(F)(F)F.FC(CNC=1N=C2C(=NC1N1CCC(CC1)OC1=C(C=C(C=C1)F)F)CNC(C2)C)F.FC(C(=O)OC(C(F)F)=O)F.CCN(C(C)C)C(C)C,FC(CNC1=C(N=C2C(=N1)CC(N(C2)C(C(F)F)=O)C)N2CCC(CC2)OC2=C(C=C(C=C2)F)F)F.C(=O)(C(F)(F)F)O
OC(=O)C(F)(F)F.FC(CNC=1N=C2C(=NC1N1CCC(CC1)OC1=C(C=C(C=C1)F)F)CNC(C2)C)F.COCC(=O)Cl.CCN(C(C)C)C(C)C,FC(CNC=1N=C2C(=NC1N1CCC(CC1)OC1=C(C=C(C=C1)F)F)CN(C(C2)C)C(COC)=O)F.C(=O)(C(F)(F)F)O
OC(=O)C(F)(F)F.FC(CNC=1N=C2C(=NC1N1CCC(CC1)OC1=C(C=C(C=C1)F)F)CNC(C2)C)F.CS(=O)(=O)Cl.CCN(C(C)C)C(C)C,FC(CNC=1N=C2C(=NC1N1CCC(CC1)OC1=C(C=C(C=C1)F)F)CN(C(C2)C)S(=O)(=O)C)F.C(=O)(C(F)(F)F)O
CO[C@H](C(=O)O)C.CCN(C(C)C)C(C)C.CN(C)C(=[N+](C)C)ON1C2=C(C=CC=N2)N=N1.F[P-](F)(F)(F)(F)F.OC(=O)C(F)(F)F.FC(CNC=1N=C2C(=NC1N1CCC(CC1)OC1=C(C=C(C=C1)F)F)CNC(C2)C)F,FC(CNC=1N=C2C(=NC1N1CCC(CC1)OC1=C(C=C(C=C1)F)F)CN(C(C2)C)C([C@H](C)OC)=O)F.C(=O)(C(F)(F)F)O
CO[C@@H](C(=O)O)C.CCN(C(C)C)C(C)C.CN(C)C(=[N+](C)C)ON1C2=C(C=CC=N2)N=N1.F[P-](F)(F)(F)(F)F.OC(=O)C(F)(F)F.FC(CNC=1N=C2C(=NC1N1CCC(CC1)OC1=C(C=C(C=C1)F)F)CNC(C2)C)F,FC(CNC=1N=C2C(=NC1N1CCC(CC1)OC1=C(C=C(C=C1)F)F)CN(C(C2)C)C([C@@H](C)OC)=O)F.C(=O)(C(F)(F)F)O
C1(CC1)C(=O)O.CCN(C(C)C)C(C)C.CN(C)C(=[N+](C)C)ON1C2=C(C=CC=N2)N=N1.F[P-](F)(F)(F)(F)F.OC(=O)C(F)(F)F.FC(CNC=1N=C2C(=NC1N1CCC(CC1)OC1=C(C=C(C=C1)F)F)CNC(C2)C)F,C1(CC1)C(=O)N1CC2=NC(=C(N=C2CC1C)NCC(F)F)N1CCC(CC1)OC1=C(C=C(C=C1)F)F.C(=O)(C(F)(F)F)O
OC(=O)C(F)(F)F.FC1=C(OC2CCN(CC2)C2=C(N=C3C(=N2)CNCC3)NC(C)C)C=CC(=C1)F.C(=O)([O-])[O-].[Cs+].[Cs+].FC(CI)F,FC(CN1CC2=NC(=C(N=C2CC1)NC(C)C)N1CCC(CC1)OC1=C(C=C(C=C1)F)F)F.C(=O)(C(F)(F)F)O
OC(=O)C(F)(F)F.FC1=C(C=CC(=C1)F)[C@H](C1CCN(CC1)C=1N=C2C(=NC1NC(C)C)CNCC2)F.C(C)(=O)OC(C)=O.N1=CC=CC=C1,FC1=C(C=CC(=C1)F)[C@H](C1CCN(CC1)C=1N=C2C(=NC1NC(C)C)CN(CC2)C(C)=O)F
FC1=C(C=CC(=C1)F)[C@H](C1CCN(CC1)C=1N=C2C(=NC1NC(C)C)CNCC2)F.C(=O)OC1=CC=CC=C1,FC1=C(C=CC(=C1)F)[C@H](C1CCN(CC1)C=1N=C2C(=NC1NC(C)C)CN(CC2)C=O)F
FC1=C(C=CC(=C1)F)[C@@H](C1CCN(CC1)C=1N=C2C(=NC1NC(C)C)CNCC2)F.C(=O)OC1=CC=CC=C1,FC1=C(C=CC(=C1)F)[C@@H](C1CCN(CC1)C=1N=C2C(=NC1NC(C)C)CN(CC2)C=O)F
OC(=O)C(F)(F)F.C(C1=CC=CC=C1)N1CC2=NC(=C(N=C2CC1)NC(C)C)N1CCC(CC1)S(=O)(=O)C1=CC(=CC=C1)F,FC=1C=C(C=CC1)S(=O)(=O)C1CCN(CC1)C1=C(N=C2C(=N1)CNCC2)NC(C)C.C(=O)(C(F)(F)F)O
OC(=O)C(F)(F)F.FC1=C(OC2CCN(CC2)C2=C(N=C3C(=N2)CNCC3)NC(C)C)C=CC(=C1)F.C(=O)([O-])[O-].[Cs+].[Cs+].FC(I)F,FC1=C(OC2CCN(CC2)C2=C(N=C3C(=N2)CN(CC3)C=O)NC(C)C)C=CC(=C1)F.C(=O)(C(F)(F)F)O
OC(=O)C(F)(F)F.C(C1=CC=CC=C1)N1CC2=NC(=C(N=C2CC1)N1CCC(CC1)OC1=C(C=C(C=C1)F)F)N[C@H](COC)C,FC1=C(OC2CCN(CC2)C=2N=C3C(=NC2N[C@H](COC)C)CNCC3)C=CC(=C1)F
OC(=O)C(F)(F)F.FC1=C(OC2CCN(CC2)C=2N=C3C(=NC2N[C@H](COC)C)CNCC3)C=CC(=C1)F.N1=CC=CC=C1.C(C)(=O)OC(C)=O,FC1=C(OC2CCN(CC2)C=2N=C3C(=NC2N[C@H](COC)C)CN(CC3)C(C)=O)C=CC(=C1)F
OC(=O)C(F)(F)F.C(C1=CC=CC=C1)N1CC2=NC(=C(N=C2CC1)N1CCC(CC1)OC1=C(C=C(C=C1)F)F)N[C@@H](COC)C,FC1=C(OC2CCN(CC2)C=2N=C3C(=NC2N[C@@H](COC)C)CNCC3)C=CC(=C1)F
OC(=O)C(F)(F)F.FC1=C(OC2CCN(CC2)C=2N=C3C(=NC2N[C@@H](COC)C)CNCC3)C=CC(=C1)F.N1=CC=CC=C1.C(C)(=O)OC(C)=O,FC1=C(OC2CCN(CC2)C=2N=C3C(=NC2N[C@@H](COC)C)CN(CC3)C(C)=O)C=CC(=C1)F
OC(=O)C(F)(F)F.C1(CCC1)NC1=C(N=C2C(=N1)CNCC2)N2CCC(CC2)OC2=C(C=C(C=C2)F)F.N1=CC=CC=C1.C(C)(=O)OC(C)=O,C1(CCC1)NC1=C(N=C2C(=N1)CN(CC2)C(C)=O)N2CCC(CC2)OC2=C(C=C(C=C2)F)F
C1(CCC1)NC1=C(N=C2C(=N1)C=NC=C2)N2CCC(CC2)OC2=C(C=C(C=C2)F)F.CC(=O)OC(=O)C,C1(CCC1)NC1=C(N=C2C(=N1)CN(CC2)C(C)=O)N2CCC(CC2)OC2=C(C=C(C=C2)F)F
OC(=O)C(F)(F)F.C(C1=CC=CC=C1)N1CC2=NC(=C(N=C2CC1)N1CCC(CC1)OC1=C(C=C(C=C1)F)F)N[C@@H](C)CC,[C@H](C)(CC)NC1=C(N=C2C(=N1)CNCC2)N2CCC(CC2)OC2=C(C=C(C=C2)F)F.C(=O)(C(F)(F)F)O
OC(=O)C(F)(F)F.[C@H](C)(CC)NC1=C(N=C2C(=N1)CNCC2)N2CCC(CC2)OC2=C(C=C(C=C2)F)F.N1=CC=CC=C1.C(C)(=O)OC(C)=O,[C@H](C)(CC)NC1=C(N=C2C(=N1)CN(CC2)C(C)=O)N2CCC(CC2)OC2=C(C=C(C=C2)F)F
OC(=O)C(F)(F)F.C(C1=CC=CC=C1)N1CC2=NC(=C(N=C2CC1)N1CCC(CC1)OC1=C(C=C(C=C1)F)F)N[C@H](C)CC,[C@@H](C)(CC)NC1=C(N=C2C(=N1)CNCC2)N2CCC(CC2)OC2=C(C=C(C=C2)F)F.C(=O)(C(F)(F)F)O
OC(=O)C(F)(F)F.[C@@H](C)(CC)NC1=C(N=C2C(=N1)CNCC2)N2CCC(CC2)OC2=C(C=C(C=C2)F)F.N1=CC=CC=C1.C(C)(=O)OC(C)=O,[C@@H](C)(CC)NC1=C(N=C2C(=N1)CN(CC2)C(C)=O)N2CCC(CC2)OC2=C(C=C(C=C2)F)F
FC1=C(OC2CCN(CC2)C=2N=C3C(=NC2NC(C)C)CNCC3)C=CC(=C1)F.CCN(C(C)C)C(C)C.C(CC)(=O)OC(CC)=O,FC1=C(OC2CCN(CC2)C=2N=C3C(=NC2NC(C)C)CN(CC3)C(CC)=O)C=CC(=C1)F
FC1=C(OC2CCN(CC2)C=2N=C3C(=NC2NC(C)C)CNCC3)C=CC(=C1)F.C(C)N(CC)CC.C(OC)(=O)Cl,FC1=C(OC2CCN(CC2)C=2N=C3C(=NC2NC(C)C)CN(CC3)C(=O)OC)C=CC(=C1)F
FC1=C(OC2CCN(CC2)C=2N=C3C(=NC2NC(C)C)CNCC3)C=CC(=C1)F.C(=O)([O-])[O-].[K+].[K+].BrCCF.BrCCF,FC1=C(OC2CCN(CC2)C=2N=C3C(=NC2NC(C)C)CN(CC3)CCF)C=CC(=C1)F
FC1=C(CN2CCN(CC2)C=2N=C3C(=NC2NC(C)C)C=NC=C3)C=CC(=C1)F.C(C)(=O)OC(C)=O,FC1=C(CN2CCN(CC2)C=2N=C3C(=NC2NC(C)C)CN(CC3)C(C)=O)C=CC(=C1)F
C1(CCC1)NC1=C(N=C2C(=N1)C=NC=C2)N2CCN(CC2)CC2=C(C=C(C=C2)F)F.C(C)(=O)OC(C)=O,C1(CCC1)NC1=C(N=C2C(=N1)CN(CC2)C(C)=O)N2CCN(CC2)CC2=C(C=C(C=C2)F)F
FC1=C(CN2CCN(CC2)C=2N=C3C(=NC2NC(C)C)CNCC3)C=CC(=C1)F.CCN(C(C)C)C(C)C.CS(=O)(=O)Cl,FC1=C(CN2CCN(CC2)C=2N=C3C(=NC2NC(C)C)CN(CC3)S(=O)(=O)C)C=CC(=C1)F
FC1=C(CN2CCN(CC2)C=2N=C3C(=NC2NC(C)C)CNCC3)C=CC(=C1)F.CCN(C(C)C)C(C)C.C(CC)(=O)OC(CC)=O,FC1=C(CN2CCN(CC2)C=2N=C3C(=NC2NC(C)C)CN(CC3)C(CC)=O)C=CC(=C1)F
C(C)(C)NC1=C(N=C2C(=N1)C=NC=C2)N2CCN(CC2)C(=O)OC(C)(C)C.C(C)(=O)OC(C)=O,C(C)(=O)N1CC2=NC(=C(N=C2CC1)N1CCN(CC1)C(=O)OC(C)(C)C)NC(C)C
FC1=C(CN2CCN(CC2)C=2N=C3C(=NC2NC(C)C)CNCC3)C=CC(=C1)F.CCN(C(C)C)C(C)C.C(C(C)C)(=O)Cl,FC1=C(CN2CCN(CC2)C=2N=C3C(=NC2NC(C)C)CN(CC3)C(C(C)C)=O)C=CC(=C1)F
FC1=C(OC2CCN(CC2)C=2N=C3C(=NC2N[C@@H]2COCC2)C=NC=C3)C=CC(=C1)F.CC(=O)C.CC(=O)OC(=O)C,FC1=C(OC2CCN(CC2)C=2N=C3C(=NC2N[C@@H]2COCC2)CN(CC3)C(C)=O)C=CC(=C1)F
FC1=C(OC2CCN(CC2)C=2N=C3C(=NC2N[C@@H]2COCC2)C=NC=C3)C=CC(=C1)F.CC(=O)C.C(CC)(=O)OC(CC)=O,FC1=C(OC2CCN(CC2)C=2N=C3C(=NC2N[C@@H]2COCC2)CN(CC3)C(CC)=O)C=CC(=C1)F
FC1(CC(C1)NC1=C(N=C2C(=N1)C=NC=C2)N2CCC(CC2)OC2=C(C=C(C=C2)F)F)F.C(C)(=O)OC(C)=O,FC1(CC(C1)NC1=C(N=C2C(=N1)CN(CC2)C(C)=O)N2CCC(CC2)OC2=C(C=C(C=C2)F)F)F
[C@@H]1([C@H](O)[C@H](O)[C@@H](CSCC[C@H](N)C(=O)O)O1)N1C=NC=2C(N)=NC=NC12.C(C)(=O)O.BrCC=C,C[S+](CC[C@@H](C(=O)[O-])N)C[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)O
[C@@H]1([C@H](O)[C@H](O)[C@@H](CSCC[C@H](N)C(=O)O)O1)N1C=NC=2C(N)=NC=NC12.C(C)(=O)O.C(C1=CC=CC=C1)Br,C[S+](CC[C@@H](C(=O)[O-])N)C[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)O
C1[C@H]([C@@H]([C@H]([C@@H](O1)OC2=CC=C(C=C2)[N+](=O)[O-])O)O)O.C1[C@H]([C@@H]([C@H]([C@@H](O1)OC2=CC=C(C=C2)[N+](=O)[O-])O)O)O.C(C)(=O)O.P(O)(O)(O)=O,C1=CC(=CC=C1[N+](=O)[O-])O
CCOC(=O)C(C(=O)OCC)NC(=O)C.[O-]CC.[Na+].NC1=C(C=CC(=C1)Cl)C(CCl)=O.[I-].[Na+],C(C)OC(C(C(=O)OCC)(CC(=O)C1=C(C=C(C=C1)Cl)N)NC(C)=O)=O
C(C)OC(C(C(=O)OCC)(CC(=O)C1=C(C=C(C=C1)Cl)N)NC(C)=O)=O.[OH-].[Na+].C(C)(=O)O.[Na+].[Cl-],C(C)(=O)NC(C(=O)O)CC(=O)C1=C(C=C(C=C1)Cl)N
CC1=NC=C(C(=C1O)C=O)COP(=O)(O)O.C[C@H](C1=CC=CC=C1)N.C1(CCCC2=CC=CC=C12)=O,C(C)(=O)C1=CC=CC=C1.NC1CCCC2=CC=CC=C12
C[C@H](C1=CC=CC=C1)N.C(CC)(=O)C1=CC=CC=C1,C(C)(=O)C1=CC=CC=C1.C(C)C(C1=CC=CC=C1)N
C(C1=CC=CC=C1)N.C(C)(=O)C1=CC=CC=C1,C(C1=CC=CC=C1)=O.CC(C1=CC=CC=C1)N
P(=O)([O-])([O-])[O-].[K+].[K+].[K+].C(C1=CC=CC=C1)CC(C)=O.CC(C1=CC=CC=C1)N,C1(=CC=CC=C1)CCC(C)N.C(C)(=O)C1=CC=CC=C1
C(CC)(=O)C1=CC=CC=C1.CC(C1=CC=CC=C1)N,C(C)C(C1=CC=CC=C1)N.C(C)(=O)C1=CC=CC=C1
[Mg].[Mg].[Br-].C(=O)OCC.Cl.C1CCOC1.C1CCOC1,C(CCCCCCC\C=C/C\C=C/CCCCC)Br
[Br-].[Mg+2].[Br-].S(C)(=O)(=O)OCCCCC\C=C/C\C=C/C\C=C/CCCCC.O,C(CCCC\C=C/C\C=C/C\C=C/CCCCC)Br
[Mg].II.C(CCCC\C=C/C\C=C/C\C=C/CCCCC)Br.C(CCCC\C=C/C\C=C/C\C=C/CCCCC)Br.C(=O)OCC.[OH-].[K+],C(CCCC\C=C/C\C=C/C\C=C/CCCCC)C(O)CCCCC\C=C/C\C=C/C\C=C/CCCCC
C(CC(C)CCCC(C)CCCC(C)CCCC(C)C)O.C(C)N(CC)CC.CS(=O)(=O)Cl,S(C)(=O)(=O)OCCC(C)CCCC(C)CCCC(C)CCCC(C)C
CCOCC.[Mg+2].[Br-].[Br-].S(C)(=O)(=O)OCCC(C)CCCC(C)CCCC(C)CCCC(C)C,C(CC(C)CCCC(C)CCCC(C)CCCC(C)C)Br
C(CC(C)CCCC(C)CCCC(C)CCCC(C)C)C(O)CCC(C)CCCC(C)CCCC(C)CCCC(C)C.Cl.CN(CCCC(=O)O)C.C(CCl)Cl.C(C)(C)N(CC)C(C)C,C(CC(C)CCCC(C)CCCC(C)CCCC(C)C)CO
C1(CCCCO1)=O.C(C1=CC=CC=C1)Br.[OH-].[Na+],OCCCCC(=O)OCC1=CC=CC=C1
OCCCCC(=O)OCC1=CC=CC=C1.C(C)N(CC)CC.CS(=O)(=O)Cl,CS(=O)(=O)CCCCC(=O)OCC1=CC=CC=C1
CS(=O)(=O)CCCCC(=O)OCC1=CC=CC=C1.CNC,CN(CCCCC(=O)OCC1=CC=CC=C1)C
C(CCCC)(=O)OCC1=CC=CC(=C1)N(C)C.C(C)(=O)OCC,CN(CCCCC(=O)O)C
OCCCCCC(=O)OCC.C(C)N(CC)CC.CS(=O)(=O)Cl,CS(=O)(=O)CCCCCC(=O)OCC
CS(=O)(=O)CCCCCC(=O)OCC.CNC,CN(CCCCCC(=O)OCC)C
IC=1C=C(C=CC1[N+](=O)[O-])OC.C1(=CC=CC=C1)[Mg]Cl.CC(C=O)(C)C,COC=1C=CC(=C(C1)C(C(C)(C)C)O)[N+](=O)[O-]
COC=1C=CC(=C(C1)C(C(C)(C)C)O)[N+](=O)[O-].[C@]12(C(CC(CC1)C2(C)C)C(=O)Cl)C,[C@]12(C(CC(CC1)C2(C)C)C(=O)OC(C(C)(C)C)C2=C(C=CC(=C2)OC)[N+](=O)[O-])C
[C@@H]1(C[C@H](O)[C@@H](CO)O1)N1C(=O)NC(=O)C(C)=C1.CC(C)(C)[Si](C)(C)Cl,[Si](C)(C)(C(C)(C)C)[C@@]1(C[C@@H](O[C@@H]1CO[Si](C)(C)C(C)(C)C)N1C(=O)NC(=O)C(C)=C1)O
[Si](C)(C)(C(C)(C)C)[C@@]1(C[C@@H](O[C@@H]1CO[Si](C)(C)C(C)(C)C)N1C(=O)NC(=O)C(C)=C1)O.C(C)(C)(C)OC(=O)OC(=O)OC(C)(C)C,[Si](C)(C)(C(C)(C)C)[C@@]1(C[C@@H](O[C@@H]1CO[Si](C)(C)C(C)(C)C)N1C(=O)N(C(=O)C(C)=C1)C(=O)OC(C)(C)C)O
IC=1C(NC(N([C@H]2C[C@H](O)[C@@H](CO)O2)C1)=O)=O.C(C)N(CC)CC.FC(C(=O)NCC#C)(F)F.C([O-])(O)=O,FC(C(=O)NCC#CC=1C(NC(N([C@H]2C[C@H](O)[C@@H](CO)O2)C1)=O)=O)(F)F
FC(C(=O)NCC#CC=1C(NC(N([C@H]2C[C@H](O)[C@@H](CO)O2)C1)=O)=O)(F)F.[Si](C)(C)(C(C)(C)C)Cl.N1C=NC=C1,[Si](C)(C)(C(C)(C)C)OC[C@@H]1[C@H](C[C@@H](O1)N1C(=O)NC(=O)C(=C1)C#CCNC(C(F)(F)F)=O)O
[Si](C)(C)(C(C)(C)C)OC[C@@H]1[C@H](C[C@@H](O1)N1C(=O)NC(=O)C(=C1)C#CCNC(C(F)(F)F)=O)O.C(C)(=O)O.C(C)(=O)OC(C)=O.CS(=O)C,[Si](C)(C)(C(C)(C)C)OC[C@@H]1[C@H](C[C@@H](O1)N1C(=O)NC(=O)C(=C1)C#CCNC(C(F)(F)F)=O)OCSC
[Si](C)(C)(C(C)(C)C)OC[C@@H]1[C@H](C[C@@H](O1)N1C(=O)NC(=O)C(=C1)C#CCNC(C(F)(F)F)=O)OCSC.C1=CCCCC1.S(=O)(=O)(Cl)Cl.N#N.[N-]=[N+]=[N-].[Na+],N(=[N+]=[N-])CO[C@H]1C[C@@H](O[C@@H]1CO)N1C(=O)NC(=O)C(=C1)C#CCNC(C(F)(F)F)=O
IC=1C(=NC(N([C@H]2C[C@H](O)[C@@H](CO)O2)C1)=O)N.C(C)N(CC)CC.FC(C(=O)NCC#C)(F)F.N(=[N+]=[N-])CO[C@H]1C[C@@H](O[C@@H]1CO)N1C(=O)NC(=O)C(=C1)C#CCNC(C(F)(F)F)=O.C([O-])(O)=O,FC(C(=O)NCC#CC=1C(=NC(N([C@H]2C[C@H](O)[C@@H](CO)O2)C1)=O)N)(F)F
FC(C(=O)NCC#CC=1C(=NC(N([C@H]2C[C@H](O)[C@@H](CO)O2)C1)=O)N)(F)F.N1C=NC=C1.CC(C)(C)[Si](C)(C)Cl,[Si](C)(C)(C(C)(C)C)OC[C@@H]1[C@H](C[C@@H](O1)N1C(=O)N=C(N)C(=C1)C#CCNC(C(F)(F)F)=O)O
[Si](C)(C)(C(C)(C)C)OC[C@@H]1[C@H](C[C@@H](O1)N1C(=O)N=C(N)C(=C1)C#CCNC(C(F)(F)F)=O)O.Cl[Si](C)(C)C.C(C1=CC=CC=C1)(=O)Cl.C(=O)(O)[O-].[Na+],C(C1=CC=CC=C1)(=O)NC1=NC(N([C@H]2C[C@H](O)[C@@H](CO[Si](C)(C)C(C)(C)C)O2)C=C1C#CCNC(C(F)(F)F)=O)=O
C(C1=CC=CC=C1)(=O)NC1=NC(N([C@H]2C[C@H](O)[C@@H](CO[Si](C)(C)C(C)(C)C)O2)C=C1C#CCNC(C(F)(F)F)=O)=O.C(C)(=O)O.C(C)(=O)OC(C)=O.C(=O)(O)[O-].[Na+].CS(=O)C,C(C1=CC=CC=C1)(=O)NC1=NC(N([C@H]2C[C@H](OCSC)[C@@H](CO[Si](C)(C)C(C)(C)C)O2)C=C1C#CCNC(C(F)(F)F)=O)=O
IC=1C(NC(N([C@H]2C[C@H](O)[C@@H](CO)O2)C1)=O)=O.N1C=NC=C1.CC(C)(C)[Si](C)(C)Cl,[Si](C)(C)(C(C)(C)C)OC[C@@H]1[C@H](C[C@@H](O1)N1C(=O)NC(=O)C(=C1)I)O
C(C=C)O[C@H]1C[C@@H](O[C@@H]1CO[Si](C)(C)C(C)(C)C)N1C(=O)NC(=O)C(=C1)I.CCCC[N+](CCCC)(CCCC)CCCC.[F-],C(C=C)O[C@H]1C[C@@H](O[C@@H]1CO)N1C(=O)NC(=O)C(=C1)I
C(C=C)O[C@H]1C[C@@H](O[C@@H]1CO)N1C(=O)NC(=O)C(=C1)I.C(C)N(CC)CC.C(C#C)NC(C(F)(F)F)=O,C(C=C)O[C@H]1C[C@@H](O[C@@H]1CO)N1C(=O)NC(=O)C(=C1)C#CCNC(C(F)(F)F)=O
IC=1C(=NC(N([C@H]2C[C@H](O)[C@@H](CO)O2)C1)=O)N.N1C=NC=C1.[Si](C)(C)(C(C)(C)C)Cl,[Si](C)(C)(C(C)(C)C)OC[C@@H]1[C@H](C[C@@H](O1)N1C(=O)N=C(N)C(=C1)I)O
[H-].[Na+].[Si](C)(C)(C(C)(C)C)OC[C@@H]1[C@H](C[C@@H](O1)N1C(=O)N=C(N)C(=C1)I)O.C(C=C)Br,C(C=C)O[C@H]1C[C@@H](O[C@@H]1CO[Si](C)(C)C(C)(C)C)N1C(=O)N=C(N)C(=C1)I
C(C=C)O[C@H]1C[C@@H](O[C@@H]1CO[Si](C)(C)C(C)(C)C)N1C(=O)N=C(N)C(=C1)I.[F-].C(CCC)[N+](CCCC)(CCCC)CCCC,C(C=C)O[C@H]1C[C@@H](O[C@@H]1CO)N1C(=O)N=C(N)C(=C1)I
S(=O)(Cl)Cl.CO.COC1=C(C(O)=CC=C1)O.C1(=C(C(=O)C(=O)C(=C1Cl)Cl)Cl)Cl,COC=1C(C(C=CC1)=O)=O
CC[C@@]12C=CCN3[C@@H]1[C@]4(CC3)[C@H]([C@]([C@@H]2O)(C(=O)OC)O)N(C5=C4C=CC(=C5)OC)C.[B-]1(N2C=CC=C2C=C3[N+]1=CC=C3)(F)F.C(CC)(=O)O.CCN=C=NCCCN(C)C.CC[C@@]12C=CCN3[C@@H]1[C@]4(CC3)[C@H]([C@]([C@@H]2O)(C(=O)OC)O)N(C5=C4C=CC(=C5)OC)C,[B-]1(N2C=CC=C2C=C3[N+]1=CC=C3)(F)F.CCC12C=CCN3[C@@H]1[C@@]4(CC3)C=5C=CC(=CC5N([C@H]4[C@]([C@@H]2OC(=O)C)(C(=O)OC)O)C)OC
O1CC1CC.COC1=CC=C(C=C1)O.[OH-].[K+].C(C(=C)C)(=O)O,C(C(=C)C)(=O)OCC(CC)O
CC(CCC(=O)O)(C1=CC=C(C=C1)O)C2=CC=C(C=C2)O.C([O-])([O-])=O.[K+].[K+].CC(=O)N(C)C.C(C=C)Br.C([O-])([O-])=O.[K+].[K+].C(C=C)Br.CC(=O)N(C)C.CCCCCC,C(C=C)OC1=CC=C(C=C1)C(CCC(=O)OCC=C)(C)C1=CC=C(C=C1)OCC=C
C(C=C)OC1=CC=C(C=C1)C(CCC(=O)OCC=C)(C)C1=CC=C(C=C1)OCC=C.O1CCCC1.[H-].COCCO[Al+]OCCOC.[Na+].[H-].Cl,C(C=C)OC1=CC=C(C=C1)C(CCCO)(C)C1=CC=C(C=C1)OCC=C
CC=1C2=CC=CC=C2C=C2C=CC=CC12.C(C(=O)Cl)(=O)Cl.[Cl-].[Al+3].[Cl-].[Cl-].Cl.[Cl-].[Al+3].[Cl-].[Cl-].Cl,CC1=C2C=CC=C3C(C(C(C4=CC=CC=C14)=C32)=O)=O
CC1=C2C=CC=C3C(C(C(C4=CC=CC=C14)=C32)=O)=O.O1CCOCC1.OO.S(O)(O)(=O)=O.[OH-].[Na+],CC1=C2C=CC=C(C2=C(C2=CC=CC=C12)C(=O)O)C(=O)O
CN(C)C=O.C(=C)C1=CC=C(C=C1)[Mg]Cl,C(=O)C1=CC=C(C=C)C=C1
NCCCCCCN.C(C)OC(CBr)OCC.[OH-].[K+],C(C)OC(CNCCCCCCN)OCC
C(=O)C1=CC=C(C=C)C=C1.C(=O)C1=CC=C(C=C)C=C1.C(C)OC(CNCCCCCCN)OCC.[BH4-].[Na+],C(=C)C1=CC=C(CNCCCCCCNCC(OCC)OCC)C=C1
